StudentID,Course,Grade,Section_Grade,Course_Type
STU247,Latin II Honors,10,95.23,Foreign Language
STU248,Spanish III Honors,10,91.6,Foreign Language
STU249,Spanish II Honors,9,97.11,Foreign Language
STU25,Chinese IV Honors,11,90.34,Foreign Language
STU250,Spanish III Honors,10,91.6,Foreign Language
STU251,Spanish IV,11,93.32,Foreign Language
STU252,Spanish IV,11,89.49,Foreign Language
STU253,Spanish IV Honors,11,97.94,Foreign Language
STU254,Spanish III,10,94.65,Foreign Language
STU255,Spanish IV Honors,11,96.79,Foreign Language
STU256,Spanish III Honors,10,95.06,Foreign Language
STU257,Spanish II Honors,9,95.56,Foreign Language
STU258,Spanish II Honors,9,97.48,Foreign Language
STU259,Spanish IV,11,90.19,Foreign Language
STU26,Latin AP,12,91.81,Foreign Language
STU260,Spanish II Honors,9,93.4,Foreign Language
STU261,Spanish Literature and Culture AP,11,94.02,Foreign Language
STU262,Spanish III Honors,10,95.6,Foreign Language
STU263,French IV,11,83.16,Foreign Language
STU264,Latin II Honors,10,99.53,Foreign Language
STU265,Chinese III,10,76.3,Foreign Language
STU266,Spanish III Honors,10,84.71,Foreign Language
STU267,Chinese III Honors,10,97.23,Foreign Language
STU268,Spanish: 20th Century Latin American Literature Post-AP,12,92.75,Foreign Language
STU269,Spanish III Honors,10,87.41,Foreign Language
STU27,Spanish III Honors,10,93.86,Foreign Language
STU270,Spanish IV,11,95.01,Foreign Language
STU271,Spanish II Honors,9,97.57,Foreign Language
STU272,Spanish IV,11,87.6,Foreign Language
STU273,Spanish III Honors,10,93.71,Foreign Language
STU274,Spanish IV Honors - Heritage Speakers,9,91.37,Foreign Language
STU275,Spanish IV Honors,11,89.64,Foreign Language
STU276,Spanish IV,11,93.27,Foreign Language
STU277,Spanish Language and Culture AP,12,97.53,Foreign Language
STU278,Spanish II Honors,9,97.42,Foreign Language
STU279,Spanish IV,11,87.5,Foreign Language
STU28,French Language and Culture AP,12,88.63,Foreign Language
STU280,Spanish III Honors,10,94.93,Foreign Language
STU281,Spanish IV Honors,10,99.01,Foreign Language
STU282,Spanish IV,11,81.85,Foreign Language
STU283,Spanish III Honors,10,85.73,Foreign Language
STU284,Spanish: 20th Century Latin American Literature Post-AP,12,95.17,Foreign Language
STU285,Spanish III Honors,10,94.41,Foreign Language
STU286,Spanish Language and Culture AP (for Heritage Speakers),10,95.17,Foreign Language
STU287,Spanish IV Honors,11,99.35,Foreign Language
STU288,Spanish III Honors,10,93.95,Foreign Language
STU289,Spanish II,9,94.96,Foreign Language
STU29,Spanish Language and Culture AP,12,91,Foreign Language
STU290,Spanish Language and Culture AP,12,96.1,Foreign Language
STU291,Spanish IV Honors,11,94.49,Foreign Language
STU292,Spanish IV,11,90.4,Foreign Language
STU293,Latin AP,12,95.35,Foreign Language
STU294,Spanish IV Honors,11,99.07,Foreign Language
STU295,Spanish II Honors,9,97.39,Foreign Language
STU296,Spanish III,10,98.01,Foreign Language
STU297,Spanish III Honors,10,93.35,Foreign Language
STU298,Spanish IV Honors - Heritage Speakers,9,95.02,Foreign Language
STU299,Spanish III Honors,10,90,Foreign Language
STU3,Spanish IV Honors,11,99.35,Foreign Language
STU30,Spanish: 20th Century Latin American Literature Post-AP,12,96.88,Foreign Language
STU300,French III,10,79.28,Foreign Language
STU301,Chinese III Honors,10,93.09,Foreign Language
STU302,French III Honors,10,87.77,Foreign Language
STU303,Chinese III,10,89.58,Foreign Language
STU304,Spanish III Honors,10,85.33,Foreign Language
STU305,Spanish IV Honors,11,90.8,Foreign Language
STU306,Spanish Language and Culture AP (for Heritage Speakers),10,86.88,Foreign Language
STU307,Spanish III Honors,10,96.02,Foreign Language
STU308,Spanish IV Honors - Heritage Speakers,9,99.42,Foreign Language
STU309,Spanish III Honors,10,94.01,Foreign Language
STU310,French Language and Culture AP,12,80.98,Foreign Language
STU311,Spanish IV Honors,10,99.07,Foreign Language
STU312,French IV Honors,11,95.09,Foreign Language
STU313,Latin III Honors,11,94.32,Foreign Language
STU314,Spanish II Honors,9,90.99,Foreign Language
STU315,Spanish II Honors,9,93.6,Foreign Language
STU316,Spanish III,10,86.6,Foreign Language
STU317,Spanish IV Honors,10,97.61,Foreign Language
STU318,Spanish III,10,90.83,Foreign Language
STU319,Spanish IV Honors - Heritage Speakers,9,96.41,Foreign Language
STU32,Spanish IV Honors,11,97.99,Foreign Language
STU320,Spanish II,9,94.58,Foreign Language
STU321,Spanish II Honors,9,95.33,Foreign Language
STU322,Chinese II,9,86,Foreign Language
STU323,Spanish III Honors,10,86.33,Foreign Language
STU324,Spanish II,9,92.63,Foreign Language
STU325,Spanish III Honors,10,90.26,Foreign Language
STU326,French III Honors,10,85.56,Foreign Language
STU327,Spanish III Honors,10,93.45,Foreign Language
STU328,Spanish III,10,94.19,Foreign Language
STU329,Latin I Honors,9,91.3,Foreign Language
STU33,Spanish III Honors,10,95.11,Foreign Language
STU330,Spanish IV Honors - Heritage Speakers,9,95.53,Foreign Language
STU331,Spanish Literature and Culture AP,11,90.82,Foreign Language
STU331,Chinese IV Honors,11,97.16,Foreign Language
STU332,Latin I Honors,9,83.7,Foreign Language
STU333,Spanish III,10,82.84,Foreign Language
STU334,Chinese II,9,92.46,Foreign Language
STU335,Chinese Language and Culture AP,12,90.32,Foreign Language
STU336,Spanish IV Honors,11,98.8,Foreign Language
STU337,Spanish II,9,96.78,Foreign Language
STU338,Spanish III Honors,10,94.74,Foreign Language
STU339,Latin I Honors,9,96.3,Foreign Language
STU34,Spanish Language and Culture AP,12,94.9,Foreign Language
STU340,Spanish V Honors,12,92.34,Foreign Language
STU341,French III Honors,10,84.74,Foreign Language
STU342,Spanish IV,11,87.95,Foreign Language
STU343,Chinese IV Honors,11,88.2,Foreign Language
STU344,Spanish IV,11,92.25,Foreign Language
STU345,Spanish Language and Culture AP,12,94.75,Foreign Language
STU346,French II,9,84.79,Foreign Language
STU347,Chinese Language and Culture AP,12,91.24,Foreign Language
STU348,Spanish II Honors,9,90.58,Foreign Language
STU349,Spanish: 20th Century Latin American Literature Post-AP,12,93.25,Foreign Language
STU35,Spanish IV Honors,11,99.07,Foreign Language
