StudentID,Course,Grade,Section_Grade,Course_Type
STU275,English Language and Composition AP,11,90.08,English
STU276,English Literature and Composition AP,11,87.37,English
STU277,Shakespeare Post-AP,12,93.95,English
STU278,English I Honors,9,95.43,English
STU279,English Literature and Composition AP,11,91.73,English
STU280,English Language and Composition AP,10,97.41,English
STU281,English Language and Composition AP,10,93.21,English
STU282,English Language and Composition AP,11,88.29,English
STU283,English II Honors,10,89.37,English
STU284,English Literature and Composition AP,12,94.24,English
STU285,English Language and Composition AP,10,89.09,English
STU286,English Language and Composition AP,10,95.16,English
STU287,English Literature and Composition AP,11,93.4,English
STU288,English Language and Composition AP,10,91.24,English
STU289,English I Honors,9,93.56,English
STU29,Talented Writers Program III Honors,12,92.89,English
STU290,Shakespeare Post-AP,12,96.15,English
STU291,English Literature and Composition AP,11,90.14,English
STU292,English Language and Composition AP,11,86.76,English
STU293,English Literature and Composition AP,12,92.92,English
STU294,English Literature and Composition AP,11,93.5,English
STU295,English I Honors,9,95.16,English
STU296,English II Honors,10,92.03,English
STU297,English Language and Composition AP,10,92.87,English
STU298,English I Honors,9,94.83,English
STU299,English II Honors,10,90.2,English
STU3,English Literature and Composition AP,11,96.89,English
STU3,Talented Writers Program II Honors,11,95.2,English
STU30,Shakespeare Post-AP,12,95.14,English
STU300,English II Honors,10,92.26,English
STU301,English Language and Composition AP,10,93.64,English
STU302,English Language and Composition AP,10,92.8,English
STU302,Talented Writers Program I Honors,10,91.62,English
STU303,English II Honors,10,84.78,English
STU304,English II Honors,10,91.65,English
STU305,English Literature and Composition AP,11,90.19,English
STU306,English II Honors,10,87.57,English
STU307,English Language and Composition AP,10,93.57,English
STU308,English I Honors,9,99.05,English
STU309,English Language and Composition AP,10,89.95,English
STU31,English Literature and Composition AP,12,91.92,English
STU310,Mythology Classical and World Literature Post-AP,12,92.49,English
STU311,English Language and Composition AP,10,96.23,English
STU312,English Literature and Composition AP,11,94.54,English
STU313,English Literature and Composition AP,11,89.28,English
STU314,English I Honors,9,92.54,English
STU315,English I Honors,9,97.35,English
STU316,English II Honors,10,84.54,English
STU317,English Language and Composition AP,10,89.4,English
STU318,English Language and Composition AP,10,88.48,English
STU318,Talented Writers Program I Honors,10,83.12,English
STU319,English I Honors,9,83.8,English
STU32,English Literature and Composition AP,11,96.66,English
STU320,English I Honors,9,82.97,English
STU321,English I Honors,9,91.62,English
STU322,English I Honors,9,85.66,English
STU323,English Language and Composition AP,10,88.06,English
STU323,Talented Writers Program I Honors,10,85.29,English
STU324,English I Honors,9,89.6,English
STU325,English Language and Composition AP,10,94.69,English
STU326,English II Honors,10,95.43,English
STU327,English Language and Composition AP,10,90.93,English
STU328,English Language and Composition AP,10,87.02,English
STU329,English I Honors,9,93.01,English
STU33,English II Honors,10,93.65,English
STU330,English I Honors,9,95.9,English
STU331,English Literature and Composition AP,11,91.13,English
STU332,English I Honors,9,77.63,English
STU333,English II Honors,10,94.16,English
STU334,English I Honors,9,93.58,English
STU335,Mythology Classical and World Literature Post-AP,12,94.55,English
STU335,Talented Writers Program II Honors,12,92.44,English
