StudentID,Course,Grade,Section_Grade
STU795,Geometry Honors,9,88.15
STU795,Computer Science Principles AP,9,95.38
STU795,Chemistry Honors,9,86.89
STU795,Human Geography AP,9,93.27
STU648,English I Honors,9,92.5
STU648,Spanish I,9,85.08
STU648,Geometry,9,77.01
STU648,Chemistry,9,90.24
STU648,Modern World Honors: 1750 to the Present,9,94.54
STU790,English I Honors,9,90.3
STU790,Latin I Honors,9,98.7
STU790,Geometry Honors,9,84.88
STU790,Chemistry Honors,9,89.72
STU790,Human Geography AP,9,89.25
STU637,English I Honors,9,96.83
STU637,"Great Decisions, Character, and Consequences",9,100
STU637,Spanish II Honors,9,94.5
STU637,Geometry Honors,9,92.68
STU637,Chemistry Honors,9,90.52
STU637,World History AP,9,98.37
STU786,English I Honors,9,87.39
STU786,Spanish I,9,95.95
STU786,Geometry,9,91.07
STU786,Chemistry,9,91.42
STU786,Human Geography AP,9,89.09
STU520,English I Honors,9,92.85
STU520,Chinese II Honors,9,85.18
STU520,Geometry Honors,9,82.86
STU520,Chemistry,9,91.08
STU520,Human Geography AP,9,84.86
STU599,English I Honors,9,94.23
STU599,Chinese II Honors,9,91.21
STU599,Geometry Honors,9,92.69
STU599,Computer Science Principles AP,9,95.44
STU599,Chemistry Honors,9,89.53
STU599,Human Geography AP,9,91.86
STU416,English I Honors,9,96.09
STU416,Spanish II Honors,9,94.45
STU416,Geometry Honors,9,96.53
STU416,Computer Science Principles AP,9,97.54
STU416,Chemistry Honors,9,95.71
STU416,World History AP,9,98.57
STU644,English I Honors,9,94.8
STU644,Latin I Honors,9,95.8
STU644,Geometry Honors,9,94
STU644,Chemistry,9,100.6
STU644,Human Geography AP,9,91.2
STU829,English I Honors,9,83.94
STU829,Chinese II,9,93.35
STU829,Geometry,9,90.04
STU829,Chemistry,9,89.93
STU829,Human Geography AP,9,92.31
STU449,English I Honors,9,85.49
STU449,Spanish II,9,89.57
STU449,Geometry,9,89.85
STU449,Chemistry,9,84.46
STU449,Human Geography AP,9,87.61
STU411,English I Honors,9,96.5
STU411,French II Honors,9,93.51
STU411,Geometry,9,99.45
STU411,Chemistry,9,103.7
STU411,Human Geography AP,9,93.99
STU351,English I Honors,9,90.14
STU351,French II Honors,9,86.33
STU351,Geometry Honors,9,83.31
STU351,Computer Science Principles AP,9,94.42
STU351,Chemistry,9,98.2
STU351,Human Geography AP,9,89.4
STU777,English I Honors,9,87.74
STU777,Latin I Honors,9,96.98
STU777,Geometry,9,93.19
STU777,Computer Science Principles AP,9,96.49
STU777,Chemistry,9,96.98
STU777,Human Geography AP,9,94.27
STU427,English I Honors,9,89.76
STU427,Spanish II,9,92.55
STU427,Geometry Honors,9,90.61
