,StudentID,Course,Grade,Section_Grade,Course_Type
178,STU812,Human Geography AP,9,92.14,Humanities
179,STU19,English I Honors,9,97.18,English
180,STU19,Latin I Honors,9,98.35,Foreign Language
181,STU19,Geometry,9,92.29,Math
182,STU19,Computer Science Principles AP,9,87.7,Computer Science
183,STU19,Chemistry,9,94.07,Science
184,STU19,Human Geography AP,9,89.4,Humanities
185,STU820,English I Honors,9,87.7,English
186,STU820,Spanish II,9,87.25,Foreign Language
187,STU820,Geometry,9,85.0,Math
188,STU820,Chemistry,9,85.47,Science
189,STU820,Modern World Honors: 1750 to the Present,9,90.55,Humanities
190,STU346,English I Honors,9,95.15,English
191,STU346,French II,9,84.79,Foreign Language
192,STU346,Geometry,9,82.29,Math
193,STU346,Chemistry,9,90.15,Science
194,STU346,Modern World Honors: 1750 to the Present,9,94.57,Humanities
195,STU109,English I Honors,9,96.65,English
196,STU109,Spanish II Honors,9,94.59,Foreign Language
197,STU109,Geometry Honors,9,85.07,Math
198,STU109,Computer Science Principles AP,9,91.11,Computer Science
199,STU109,Chemistry Honors,9,84.62,Science
200,STU109,World History AP,9,89.8,Humanities
201,STU222,English I Honors,9,88.95,English
202,STU222,Spanish II Honors,9,87.98,Foreign Language
203,STU222,Geometry Honors,9,79.93,Math
204,STU222,Chemistry,9,93.12,Science
205,STU222,Human Geography AP,9,82.41,Humanities
206,STU636,English I Honors,9,89.85,English
207,STU636,Spanish II Honors,9,87.61,Foreign Language
208,STU636,Geometry,9,93.61,Math
209,STU636,Chemistry,9,88.71,Science
210,STU636,Human Geography AP,9,88.2,Humanities
211,STU508,English I Honors,9,96.46,English
212,STU508,Spanish II Honors,9,97.33,Foreign Language
213,STU508,Geometry Honors,9,98.02,Math
214,STU508,Chemistry Honors,9,98.44,Science
215,STU508,Human Geography AP,9,95.35,Humanities
216,STU651,English I Honors,9,91.0,English
217,STU651,Spanish II Honors,9,91.0,Foreign Language
218,STU651,Geometry Honors,9,91.66,Math
219,STU651,Computer Science Principles AP,9,96.94,Computer Science
220,STU651,Chemistry Honors,9,90.38,Science
221,STU651,Human Geography AP,9,94.75,Humanities
222,STU169,English I Honors,9,98.5,English
223,STU169,Latin I Honors,9,98.55,Foreign Language
224,STU169,Pre-Calculus Honors,9,93.75,Math
225,STU169,Computer Science Principles AP,9,97.45,Computer Science
226,STU169,Chemistry Honors,9,93.19,Science
227,STU169,World History AP,9,96.73,Humanities
228,STU856,English I Honors,9,95.9,English
229,STU856,"Great Decisions, Character, and Consequences",9,100.0,Psychology
230,STU856,Spanish II,9,97.85,Foreign Language
231,STU856,Algebra II Honors,9,95.37,Math
232,STU856,Chemistry Honors,9,95.84,Science
233,STU856,Human Geography AP,9,97.69,Humanities
234,STU468,English I Honors,9,81.75,English
235,STU468,"Great Decisions, Character, and Consequences",9,100.0,Psychology
236,STU468,Spanish II,9,87.56,Foreign Language
237,STU468,Geometry,9,78.4,Math
238,STU468,Chemistry,9,82.55,Science
239,STU468,Modern World Honors: 1750 to the Present,9,92.18,Humanities
240,STU804,English I Honors,9,98.24,English
241,STU804,Spanish II Honors,9,93.34,Foreign Language
242,STU804,Geometry,9,94.66,Math
243,STU804,Chemistry,9,97.67,Science
244,STU804,World History AP,9,94.9,Humanities
245,STU839,English I Honors,9,95.9,English
246,STU839,Spanish II,9,95.21,Foreign Language
247,STU839,Geometry Honors,9,81.62,Math
248,STU839,Chemistry Honors,9,84.41,Science
249,STU839,World History AP,9,99.18,Humanities
250,STU239,English I Honors,9,90.57,English
251,STU239,Spanish II Honors,9,81.18,Foreign Language
252,STU239,Geometry,9,86.35,Math
253,STU239,Chemistry,9,94.49,Science
254,STU239,Modern World Honors: 1750 to the Present,9,91.78,Humanities
255,STU795,English I Honors,9,87.31,English
256,STU795,Latin I Honors,9,97.43,Foreign Language
257,STU795,Geometry Honors,9,88.15,Math
258,STU795,Computer Science Principles AP,9,95.38,Computer Science
259,STU795,Chemistry Honors,9,86.89,Science
260,STU795,Human Geography AP,9,93.27,Humanities
261,STU648,English I Honors,9,92.5,English
262,STU648,Spanish I,9,85.08,Foreign Language
263,STU648,Geometry,9,77.01,Math
264,STU648,Chemistry,9,90.24,Science
265,STU648,Modern World Honors: 1750 to the Present,9,94.54,Humanities
266,STU790,English I Honors,9,90.3,English
267,STU790,Latin I Honors,9,98.7,Foreign Language
268,STU790,Geometry Honors,9,84.88,Math
269,STU790,Chemistry Honors,9,89.72,Science
270,STU790,Human Geography AP,9,89.25,Humanities
271,STU637,English I Honors,9,96.83,English
272,STU637,"Great Decisions, Character, and Consequences",9,100.0,Psychology
273,STU637,Spanish II Honors,9,94.5,Foreign Language
274,STU637,Geometry Honors,9,92.68,Math
275,STU637,Chemistry Honors,9,90.52,Science
276,STU637,World History AP,9,98.37,Humanities
277,STU786,English I Honors,9,87.39,English
278,STU786,Spanish I,9,95.95,Foreign Language
279,STU786,Geometry,9,91.07,Math
280,STU786,Chemistry,9,91.42,Science
281,STU786,Human Geography AP,9,89.09,Humanities
282,STU520,English I Honors,9,92.85,English
283,STU520,Chinese II Honors,9,85.18,Foreign Language
284,STU520,Geometry Honors,9,82.86,Math
285,STU520,Chemistry,9,91.08,Science
286,STU520,Human Geography AP,9,84.86,Humanities
287,STU599,English I Honors,9,94.23,English
288,STU599,Chinese II Honors,9,91.21,Foreign Language
289,STU599,Geometry Honors,9,92.69,Math
290,STU599,Computer Science Principles AP,9,95.44,Computer Science
291,STU599,Chemistry Honors,9,89.53,Science
292,STU599,Human Geography AP,9,91.86,Humanities
293,STU416,English I Honors,9,96.09,English
294,STU416,Spanish II Honors,9,94.45,Foreign Language
295,STU416,Geometry Honors,9,96.53,Math
296,STU416,Computer Science Principles AP,9,97.54,Computer Science
297,STU416,Chemistry Honors,9,95.71,Science
298,STU416,World History AP,9,98.57,Humanities
299,STU644,English I Honors,9,94.8,English
300,STU644,Latin I Honors,9,95.8,Foreign Language
301,STU644,Geometry Honors,9,94.0,Math
302,STU644,Chemistry,9,100.6,Science
303,STU644,Human Geography AP,9,91.2,Humanities
304,STU829,English I Honors,9,83.94,English
305,STU829,Chinese II,9,93.35,Foreign Language
306,STU829,Geometry,9,90.04,Math
307,STU829,Chemistry,9,89.93,Science
308,STU829,Human Geography AP,9,92.31,Humanities
309,STU449,English I Honors,9,85.49,English
310,STU449,Spanish II,9,89.57,Foreign Language
311,STU449,Geometry,9,89.85,Math
312,STU449,Chemistry,9,84.46,Science
313,STU449,Human Geography AP,9,87.61,Humanities
314,STU411,English I Honors,9,96.5,English
315,STU411,French II Honors,9,93.51,Foreign Language
316,STU411,Geometry,9,99.45,Math
317,STU411,Chemistry,9,103.7,Science
318,STU411,Human Geography AP,9,93.99,Humanities
319,STU351,English I Honors,9,90.14,English
320,STU351,French II Honors,9,86.33,Foreign Language
321,STU351,Geometry Honors,9,83.31,Math
322,STU351,Computer Science Principles AP,9,94.42,Computer Science
323,STU351,Chemistry,9,98.2,Science
324,STU351,Human Geography AP,9,89.4,Humanities
325,STU777,English I Honors,9,87.74,English
326,STU777,Latin I Honors,9,96.98,Foreign Language
327,STU777,Geometry,9,93.19,Math
328,STU777,Computer Science Principles AP,9,96.49,Computer Science
329,STU777,Chemistry,9,96.98,Science
330,STU777,Human Geography AP,9,94.27,Humanities
331,STU427,English I Honors,9,89.76,English
332,STU427,Spanish II,9,92.55,Foreign Language
333,STU427,Geometry Honors,9,90.61,Math
