Gender,Ethnicity,ELL,SWD,ED,SST,Gifted,Absences,Lexile,MATH 21 Scale Score,ELA 21 Scale Score,ELA 22 Pass,MATH 22 Pass,SCIE 22 Pass,SOCI 22 Pass,Subjects Passed,Overall Pass
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1440,516,541,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,1,1355,561,544,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1225,530,562,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1225,540,525,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1665,532,598,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1130,557,525,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,31,1225,530,531,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,38,1505,512,575,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1245,552,515,1,1,1,1,4,1
MALE,ASIAN,N,N,N,N,N,7,1205,540,531,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,14,915,480,455,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1030,543,521,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,7,980,492,462,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,960,494,427,0,1,0,0,1,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1080,490,480,1,1,1,0,3,0
MALE,HISPANIC,N,N,Y,N,N,19,1375,528,526,1,1,1,1,4,1
FEMALE,Two Or More Races,N,N,N,N,Y,0,1355,603,618,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1305,604,590,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1115,540,503,1,1,0,1,3,0
MALE,HISPANIC,N,N,N,N,Y,9,1225,610,563,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1305,570,582,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,0,1225,570,582,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,18,1520,618,575,1,1,1,1,4,1
MALE,HISPANIC,N,N,Y,Y,N,7,1055,494,403,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,15,1055,448,502,1,0,1,0,2,0
FEMALE,HISPANIC,N,N,N,N,N,18,935,512,485,1,1,0,0,2,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,1225,532,562,1,1,0,1,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,Y,N,28,935,476,455,0,0,0,0,0,0
