id,Gender,Ethnicity,ELL,SWD,ED,SST,Gifted,Absences,Lexile,ELA 21 Scale Score,ELA 21 Level,ELA 21 Pass,ELA 22 Scale Score,ELA 22 Level,ELA 22 Pass,MATH 21 Scale Score,MATH 21 Level,MATH 21 Pass,MATH 22 Scale Score,MATH 22 Level,MATH 22 Pass,SCIE 22 Scale Score,SCIE 22 Level,SCIE 22 Pass,SOCI 22 Scale Score,SOCI 22 Level,SOCI 22 Pass
86,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,0,1055,498,2,1,491,2,1,480,2,1,488,2,1,475,2,1,482,2,1
87,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1260,556,3,1,546,3,1,532,3,1,549,3,1,545,3,1,544,3,1
88,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,13,1205,575,3,1,544,3,1,556,3,1,541,3,1,532,3,1,556,3,1
89,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,9,1440,575,3,1,617,4,1,591,4,1,550,3,1,545,3,1,543,3,1
90,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,12,1040,494,2,1,506,2,1,453,1,0,507,2,1,485,2,1,469,1,0
91,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,38,1145,489,2,1,513,2,1,498,2,1,515,2,1,509,2,1,487,2,1
92,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,6,935,474,1,0,470,1,0,486,2,1,525,3,1,496,2,1,487,2,1
93,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,2,1700,614,4,1,617,4,1,617,4,1,578,3,1,578,3,1,558,3,1
94,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1440,605,4,1,617,4,1,597,4,1,584,4,1,592,3,1,583,4,1
95,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,19,1375,598,4,1,560,3,1,570,3,1,596,4,1,616,4,1,558,3,1
96,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,30,1665,597,4,1,630,4,1,626,4,1,614,4,1,627,4,1,602,4,1
97,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,25,1260,531,3,1,541,3,1,526,3,1,497,2,1,528,3,1,511,2,1
98,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,4,1505,544,3,1,570,3,1,561,3,1,573,3,1,631,4,1,543,3,1
99,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,12,1105,477,2,1,498,2,1,488,2,1,511,2,1,508,2,1,491,2,1
100,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,3,1305,536,3,1,524,2,1,540,3,1,499,2,1,526,3,1,537,3,1
101,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,8,960,507,2,1,477,2,1,500,2,1,514,2,1,513,2,1,440,1,0
102,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,5,1420,686,4,1,577,3,1,548,3,1,514,2,1,518,2,1,516,2,1
103,FEMALE,HISPANIC,N,N,Y,N,N,8,1225,550,3,1,537,3,1,469,1,0,496,2,1,492,2,1,506,2,1
104,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,12,1355,544,3,1,585,4,1,556,3,1,533,3,1,531,3,1,532,3,1
105,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1440,562,3,1,573,3,1,514,2,1,515,2,1,545,3,1,521,2,1
106,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1520,568,3,1,606,4,1,591,4,1,579,4,1,545,3,1,563,3,1
107,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,37,1190,471,1,0,505,2,1,482,2,1,499,2,1,463,1,0,501,2,1
108,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,4,910,481,2,1,457,1,0,528,3,1,496,2,1,486,2,1,449,1,0
109,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,15,1375,630,4,1,587,4,1,586,4,1,568,3,1,598,3,1,571,3,1
110,MALE,HISPANIC,N,N,N,N,N,3,1010,471,1,0,495,2,1,502,2,1,533,3,1,491,2,1,516,2,1
111,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1645,589,3,1,616,4,1,618,4,1,632,4,1,560,3,1,642,4,1
112,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,15,795,455,1,0,457,1,0,472,1,0,461,1,0,433,1,0,468,1,0
113,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,20,765,512,2,1,443,1,0,476,2,1,461,1,0,433,1,0,450,1,0
114,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,2,1225,557,3,1,557,3,1,532,3,1,541,3,1,598,3,1,571,3,1
115,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,8,1280,608,4,1,573,3,1,575,3,1,568,3,1,531,3,1,558,3,1
116,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,26,1505,582,3,1,563,3,1,543,3,1,529,3,1,556,3,1,510,2,1
117,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1375,507,2,1,587,4,1,540,3,1,525,3,1,528,3,1,506,2,1
118,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,27,1105,489,2,1,491,2,1,548,3,1,507,2,1,581,3,1,538,3,1
119,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,935,498,2,1,491,2,1,496,2,1,469,1,0,480,2,1,473,1,0
120,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,29,1175,546,3,1,522,2,1,536,3,1,545,3,1,569,3,1,491,2,1
